,CaseNum,osmid,distance
0,19-00066,90517097,147.06713680395967
0,19-00066,90691837,4.103337114136494
0,19-00066,8700949482,53.66962124400167
0,19-00366,90560158,4.864283707575264
0,19-00447,90751702,0.3240464742829695
0,19-00447,2142329303,146.000251681344
0,19-00523,90417729,114.40177932140665
0,19-00523,90417767,4.756061504069674
0,19-01146,90641685,4.1099869464444385
0,19-01146,3041950208,186.66197671345046
0,19-01290,90330495,4.586053101247468
0,19-01492,1624367028,182.99899754541246
0,19-01492,5707636373,35.83450909306236
0,19-01492,5707636374,3.817034504921875
0,19-01827,9055691293,5.867971255735201
0,19-01827,10315292346,43.99166730226519
0,19-01893,90298946,6.332382466566997
0,19-02096,3448341755,42.57390269539893
0,19-02581,90349330,6.965857653373471
0,19-02581,90349352,106.02250035327398
0,19-02809,90336809,49.84826831006015
0,19-02809,1792494848,2.9043941362833725
0,19-02809,3584498615,83.15503890480291
0,19-02809,3584498618,52.17836711477863
0,19-02809,5250327553,188.31580375662622
0,19-02809,5250327555,183.34633520171016
0,19-02809,9874007532,108.88755179663663
0,19-02809,9874007535,100.82793982130494
0,19-03267,90576208,43.29810440397298
0,19-03267,4902808488,22.437905962725964
0,19-04428,90501662,5.840472806255144
0,19-04974,90263042,172.2926559905729
0,19-04974,90417715,1.6050157296217418
0,19-05278,90290206,153.74779726103512
0,19-05343,9192233144,47.31171187387506
0,20-00663,90330504,45.0606584452552
0,20-00663,358579094,13.339525295597213
0,20-00812,90634095,133.49228878563343
0,20-00812,90634098,7.578875992257358
0,20-00834,90290140,194.72556867532347
0,20-00834,90290142,79.84595111124409
0,20-00918,90330606,27.29467696855957
0,20-01117,90342976,68.69058149797472
0,20-01117,5250327588,52.19173620973799
0,20-01117,5315303469,44.70743723013391
0,20-01117,5315303470,2.0013047417960164
0,20-01509,90346534,54.66439441382425
0,20-01509,3447742412,19.681654005237636
0,20-03757,90431605,18.12483671417989
0,20-04419,90245323,49.19551554102605
0,20-04419,90638908,6.798166839833381
0,20-04419,3190994105,52.559438160658125
0,20-05096,90320580,3.6422067940327647
0,20-05351,90337473,17.20468861600068
0,20-05351,90616941,123.363347777633
0,20-05351,90616942,74.35024317085652
0,20-05351,2036198326,156.0941809939873
0,20-05351,8319490319,86.39907536904828
0,20-05575,90586123,46.40466258455155
0,20-05575,8298476351,56.87755707700935
0,20-06130,90330489,8.622333421649795
0,20-06130,90445290,197.0101866411267
0,20-06335,90302943,168.47762724375121
0,20-06335,90302944,0.5734771612369414
0,20-06955,90371767,65.42990131862994
0,20-06955,3378660520,47.971905029894366
0,20-06955,5708288016,10.506910589390953
0,20-06955,5708288017,46.83260174233402
0,20-07219,90362032,175.19862418556156
0,20-07219,90376522,2.8233143773250946
0,20-07475,90290185,178.65310156407014
0,20-07475,90290187,44.60422214361363
0,20-07475,2493197974,180.24239511813462
0,20-07475,3262602576,61.49884948482428
0,20-07475,6665383885,41.863004414461635
0,20-07475,8233346735,6.793979654637076
0,20-07527,90371767,65.42990131862994
0,20-07527,3378660520,47.971905029894366
0,20-07527,5708288016,10.506910589390953
0,20-07527,5708288017,46.83260174233402
0,21-00016,90575410,4.79120839033603
0,21-01538,90443149,3.3756936193153564
0,21-01539,90443149,3.3756936193153564
0,21-02120,90269228,197.1944288968273
0,21-02120,90337134,160.65699559541395
0,21-02120,2036198051,130.60239308469022
0,21-02120,2036198085,104.67726333483142
0,21-02120,2036198142,188.48066847054946
0,21-02272,90302907,153.11627229714782
0,21-02272,90302909,12.897442299575314
0,21-02272,90302911,110.77708618959042
0,21-03461,90750538,4.120816963345955
0,21-03461,2991211345,193.5176335171597
0,21-03861,90418713,1.067048248509138
0,21-03861,90418715,124.2710196873576
0,21-04246,90557852,8.357913619786006
0,21-04336,90346336,2.152108393197363
0,21-04356,90290259,4.2183156220550915
0,21-04356,7234355448,102.58411135340442
0,21-04356,12141028178,68.45976608506255
0,21-04464,90572596,5.0418487247951225
0,21-04558,90367740,2.678434566349657
0,21-04559,90367740,2.678434566349657
0,21-04641,90576208,43.29810440397298
0,21-04641,4902808488,22.437905962725964
0,21-04652,90460292,20.784077351985548
0,21-04652,975800983,75.6524994461293
0,21-04954,90624046,43.24248142556388
0,21-04954,3262602575,3.3376399681890367
0,21-04954,3262602599,50.24991729444515
0,21-06249,90366325,1.9713258893696204
0,21-07049,90290226,44.483377503083574
0,21-07049,8973411112,9.311950603276378
0,21-07049,12161086529,53.50733189063678
0,21-07049,12161086560,67.57994034056681
0,21-07061,90290097,37.37594239548153
0,21-07061,4915964261,117.3744275814307
0,21-07061,7182978214,15.980592876846972
0,21-07061,8701354901,188.40229709994102
0,21-07061,8701354902,89.31750693094517
0,21-07256,90662796,6.397518701508202
0,21-07256,90713121,142.79160591726978
0,21-07256,10292833915,142.61606695411672
