osmid,y,x,street_count,highway,ref,geometry
90238621,38.497982,-121.555691,3,,,POINT (-121.555691 38.497982)
90238626,38.497695,-121.557234,1,turning_circle,,POINT (-121.557234 38.497695)
90238634,38.508246,-121.416563,3,,,POINT (-121.416563 38.508246)
90238636,38.508234,-121.413455,4,,,POINT (-121.413455 38.508234)
90238798,38.494981,-121.542607,3,,,POINT (-121.542607 38.494981)
90238801,38.49483,-121.543006,1,turning_circle,,POINT (-121.543006 38.49483)
90238807,38.6126943,-121.4569368,3,,,POINT (-121.4569368 38.6126943)
90238809,38.6125954,-121.4554984,3,stop,,POINT (-121.4554984 38.6125954)
90238834,38.5105872,-121.3990563,3,,,POINT (-121.3990563 38.5105872)
90238839,38.5110839,-121.399057,1,,,POINT (-121.399057 38.5110839)
90238854,38.625813,-121.517175,3,motorway_junction,,POINT (-121.517175 38.625813)
90238868,38.629252,-121.518696,3,,,POINT (-121.518696 38.629252)
90238870,38.5775527,-121.465547,3,motorway_junction,7A,POINT (-121.465547 38.5775527)
90238877,38.5734981,-121.4679008,4,traffic_signals,,POINT (-121.4679008 38.5734981)
90238880,38.483408,-121.482162,1,,,POINT (-121.482162 38.483408)
90238883,38.483409,-121.481268,1,,,POINT (-121.481268 38.483409)
90239106,38.596978,-121.4434269,3,motorway_junction,9B,POINT (-121.4434269 38.596978)
90239145,38.600444,-121.437649,3,,,POINT (-121.437649 38.600444)
90239160,38.601462,-121.435934,3,motorway_junction,,POINT (-121.435934 38.601462)
90239170,38.6032486,-121.4340786,3,,,POINT (-121.4340786 38.6032486)
90239274,38.629052,-121.405228,3,,,POINT (-121.405228 38.629052)
90239281,38.63141,-121.40143,5,,,POINT (-121.40143 38.63141)
90239287,38.631913,-121.39765,3,motorway_junction,12,POINT (-121.39765 38.631913)
90239585,38.5450105,-121.5092542,3,motorway_junction,516,POINT (-121.5092542 38.5450105)
90239595,38.54093,-121.511281,3,,,POINT (-121.511281 38.54093)
90239598,38.5382418,-121.5135,3,,,POINT (-121.5135 38.5382418)
90239967,38.5569463,-121.4731355,3,motorway_junction,,POINT (-121.4731355 38.5569463)
90240108,38.4827,-121.511084,3,,,POINT (-121.511084 38.4827)
90240627,38.6341805,-121.5006445,3,,,POINT (-121.5006445 38.6341805)
90240676,38.633878,-121.500517,3,,,POINT (-121.500517 38.633878)
90240682,38.600163,-121.504939,3,motorway_junction,520,POINT (-121.504939 38.600163)
90240692,38.5969346,-121.5045338,5,traffic_signals,,POINT (-121.5045338 38.5969346)
90240697,38.593349,-121.5044299,3,,,POINT (-121.5044299 38.593349)
90240916,38.628727,-121.405602,3,motorway_junction,12C,POINT (-121.405602 38.628727)
90240926,38.6298129,-121.4031023,3,,,POINT (-121.4031023 38.6298129)
90240934,38.6295919,-121.4027155,3,,,POINT (-121.4027155 38.6295919)
90241012,38.490105,-121.514136,3,motorway_junction,513,POINT (-121.514136 38.490105)
90241013,38.492179,-121.514732,3,motorway_junction,,POINT (-121.514732 38.492179)
90241053,38.4954812,-121.5126706,3,,,POINT (-121.5126706 38.4954812)
90241461,38.5394061,-121.4750085,3,,,POINT (-121.4750085 38.5394061)
90241468,38.539084,-121.474276,3,,,POINT (-121.474276 38.539084)
90241478,38.5368796,-121.4736671,3,,,POINT (-121.4736671 38.5368796)
90242015,38.5924149,-121.4450006,3,motorway_junction,9A,POINT (-121.4450006 38.5924149)
90242034,38.595908,-121.442347,3,,,POINT (-121.442347 38.595908)
90242088,38.6086607,-121.4297412,3,,,POINT (-121.4297412 38.6086607)
90242116,38.6110977,-121.4292833,3,,,POINT (-121.4292833 38.6110977)
90242189,38.615095,-121.535341,3,,,POINT (-121.535341 38.615095)
90242235,38.6149909,-121.5349064,3,,,POINT (-121.5349064 38.6149909)
90242238,38.636913,-121.494752,3,motorway_junction,88,POINT (-121.494752 38.636913)
90242260,38.63544,-121.500894,3,,,POINT (-121.500894 38.63544)
90242268,38.6351018,-121.5017014,3,traffic_signals,,POINT (-121.5017014 38.6351018)
90242281,38.5687009,-121.4685088,5,traffic_signals,,POINT (-121.4685088 38.5687009)
90242298,38.5656315,-121.4703666,3,motorway_junction,7A,POINT (-121.4703666 38.5656315)
