,CaseNum,osmid_node,distance,street_count,highway_node,name_u,highway_u,name_v,highway_v,Mode,IncidentAddress,CrossStreets,GeocodeAddress
0,19-00066,90517097.0,147.06713680395967,3.0,,Elder Creek Road,secondary,Elder Creek Road,secondary,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
1,19-00066,90517097.0,147.06713680395967,3.0,,Elder Creek Road,secondary,Elder Creek Road,secondary,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
2,19-00066,90517097.0,147.06713680395967,3.0,,Golden West Way,residential,Golden West Way,residential,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
3,19-00066,90691837.0,4.103337114136494,3.0,,Aliso Way,residential,Aliso Way,residential,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
4,19-00066,90691837.0,4.103337114136494,3.0,,Elder Creek Road,secondary,Elder Creek Road,secondary,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
5,19-00066,90691837.0,4.103337114136494,3.0,,Elder Creek Road,secondary,Elder Creek Road,secondary,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
6,19-00066,8700949482.0,53.66962124400167,3.0,,Aliso Way,residential,Aliso Way,residential,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
7,19-00066,8700949482.0,53.66962124400167,3.0,,Aliso Way,residential,Aliso Way,residential,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
8,19-00066,8700949482.0,53.66962124400167,3.0,,,residential,,residential,Driver,"Elder Creek Road 64 Feet West of Aliso Way, Sacramento, Sacramento, CA, 95824","['elder creek road', 'aliso way']","elder creek road & aliso way, Sacramento, CA 95824"
9,19-00366,90560158.0,4.864283707575264,4.0,,46th Street,residential,46th Street,residential,Pedestrian,"Folsom Boulevard 50 Feet West of 46th Street, Sacramento, Sacramento, CA, 95819","['folsom boulevard', '46th street']","folsom boulevard & 46th street, Sacramento, CA 95819"
10,19-00366,90560158.0,4.864283707575264,4.0,,46th Street,residential,46th Street,residential,Pedestrian,"Folsom Boulevard 50 Feet West of 46th Street, Sacramento, Sacramento, CA, 95819","['folsom boulevard', '46th street']","folsom boulevard & 46th street, Sacramento, CA 95819"
11,19-00366,90560158.0,4.864283707575264,4.0,,M Street,tertiary,M Street,tertiary,Pedestrian,"Folsom Boulevard 50 Feet West of 46th Street, Sacramento, Sacramento, CA, 95819","['folsom boulevard', '46th street']","folsom boulevard & 46th street, Sacramento, CA 95819"
12,19-00366,90560158.0,4.864283707575264,4.0,,M Street,tertiary,M Street,tertiary,Pedestrian,"Folsom Boulevard 50 Feet West of 46th Street, Sacramento, Sacramento, CA, 95819","['folsom boulevard', '46th street']","folsom boulevard & 46th street, Sacramento, CA 95819"
13,19-00447,90751702.0,0.3240464742829695,3.0,,Empress Street,residential,Empress Street,residential,Pedestrian,"EL CAMINO AVE 9 FT EAST OF EMPRESS ST, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'empress street']","el camino avenue & empress street, Sacramento, CA 95815"
14,19-00447,90751702.0,0.3240464742829695,3.0,,El Camino Avenue,secondary,,,Pedestrian,"EL CAMINO AVE 9 FT EAST OF EMPRESS ST, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'empress street']","el camino avenue & empress street, Sacramento, CA 95815"
15,19-00447,90751702.0,0.3240464742829695,3.0,,El Camino Avenue,secondary,El Camino Avenue,secondary,Pedestrian,"EL CAMINO AVE 9 FT EAST OF EMPRESS ST, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'empress street']","el camino avenue & empress street, Sacramento, CA 95815"
16,19-00447,2142329303.0,146.000251681344,3.0,,,secondary_link,,,Pedestrian,"EL CAMINO AVE 9 FT EAST OF EMPRESS ST, Sacramento, Sacramento, CA, 95815","['el camino avenue', 'empress street']","el camino avenue & empress street, Sacramento, CA 95815"
